name,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,photo_url,profile,style_traits
Ivan Turgenev,literary,ru,19c,expand_multilingual_2026_07,Russian Wikisource,work,3,Russian originals only,,Russian novelist; Fathers and Sons; lyrical realism between generations,"lyrical, poised, elegiac, socially attuned"
Nikolai Gogol,literary,ru,19c,expand_multilingual_2026_07,Russian Wikisource,work,3,Russian originals only,,"Russian-Ukrainian comic genius; Dead Souls, The Overcoat","grotesque, digressive, fantastical, satirical"
Alexander Pushkin,literary,ru,19c,expand_multilingual_2026_07,Russian Wikisource,work,3,Russian prose originals only,,Russia's national poet; The Captain's Daughter; founder of modern Russian prose,"limpid, swift, ironic, classical"
Ivan Goncharov,literary,ru,19c,expand_multilingual_2026_07,Russian Wikisource,work,3,Russian originals only,,Russian novelist; Oblomov; the epic of inertia,"leisurely, ironic, domestic, accumulative"
Nikolai Leskov,literary,ru,19c,expand_multilingual_2026_07,Russian Wikisource,work,3,Russian originals only,,"Russian storyteller; The Enchanted Wanderer, Lefty; skaz oral narration","yarning, idiomatic, folkloric, sly"
Alexander Kuprin,literary,ru,20c,expand_multilingual_2026_07,Russian Wikisource,work,3,Russian originals only,,"Russian realist; The Duel, The Garnet Bracelet","sensuous, compassionate, soldierly, romantic"
Maxim Gorky,literary,ru,20c,expand_multilingual_2026_07,Russian Wikisource,work,3,Russian originals only,,Russian writer of the lower depths; Childhood; bridge to Soviet letters,"raw, vagabond, indignant, vitalist"
Henryk Sienkiewicz,literary,pl,19c_20c,expand_multilingual_2026_07,Polish Wikisource,work,3,Polish originals only,,"Polish national novelist; Quo Vadis, the Trilogy; Nobel laureate","epic, patriotic, vivid, sweeping"
Boleslaw Prus,literary,pl,19c,expand_multilingual_2026_07,Polish Wikisource,work,3,Polish originals only,,"Polish realist; The Doll, Pharaoh; chronicler of Warsaw","analytical, humane, urban, quietly ironic"
Wladyslaw Reymont,literary,pl,19c_20c,expand_multilingual_2026_07,Polish Wikisource,work,3,Polish originals only,,Polish novelist; The Peasants; Nobel laureate of the village year,"earthy, seasonal, choral, sensory"
Stefan Zeromski,literary,pl,20c,expand_multilingual_2026_07,Polish Wikisource,work,3,Polish originals only,,"Polish novelist of conscience; Homeless People, The Coming Spring","impassioned, wounded, civic, lyrical"
Eliza Orzeszkowa,literary,pl,19c,expand_multilingual_2026_07,Polish Wikisource,work,3,Polish originals only,,Polish positivist novelist; On the Niemen,"earnest, pastoral, reformist, detailed"
Oscar Wilde,literary,en,19c,expand_literary_2026_07b,Project Gutenberg,work,3,original English prose and essays,,"Irish playwright, novelist, and epigrammatist; The Importance of Being Earnest, The Picture of Dorian Gray; master of aesthetic comedy","jewel-cut, paradoxical, decadent, socially barbed"
W. B. Yeats,literary,en,19c_20c,expand_literary_2026_07b,Project Gutenberg,work,3,Nobel 1923; original English prose and verse,,"Irish poet and dramatist; The Tower, The Wild Swans at Coole; Nobel Prize in Literature 1923","incantatory, myth-haunted, symbolist, twilight-lit"
George Bernard Shaw,literary,en,20c,expand_literary_2026_07b,Project Gutenberg,work,3,Nobel 1925; original English plays and prefaces,,"Irish playwright and critic; Pygmalion, Man and Superman; Nobel Prize in Literature 1925","dialectical, iconoclastic, stage-bright, morally combative"
John Galsworthy,literary,en,20c,expand_literary_2026_07b,Project Gutenberg,work,3,Nobel 1932; original English prose; US-PD early works only,,"English novelist and dramatist; The Forsyte Saga; Nobel Prize in Literature 1932","patrician, panoramic, ethically watchful, quietly indicting"
Sherwood Anderson,literary,en,20c,expand_literary_2026_07b,Project Gutenberg,work,3,original English prose; US-PD early works only,,"American short-story writer and novelist; Winesburg, Ohio; pioneer of the modern linked story cycle","plainspoken, fragmentary, small-town haunted, inward-turning"
Theodore Dreiser,literary,en,20c,expand_literary_2026_07b,Project Gutenberg,work,3,original English prose; US-PD early works only,,"American novelist and journalist; Sister Carrie, An American Tragedy; leading American naturalist","granite-hewn, deterministic, urban, materially exacting"
Gertrude Stein,literary,en,20c,expand_literary_2026_07b,Project Gutenberg,work,3,original English prose; US-PD early works only,,"American modernist writer and art patron; Tender Buttons, The Making of Americans; radical innovator of repetition and syntax","recursive, cubist, incantational, syntax-bending"
Jonathan Swift,literary,en,18c,expand_literary_2026_07b,Project Gutenberg,work,3,original English prose and satire,,"Anglo-Irish satirist and cleric; Gulliver's Travels, A Modest Proposal; canonical master of political irony","savage, deadpan, scalpel-clean, misanthropically lucid"
Daniel Defoe,literary,en,18c,expand_literary_2026_07b,Project Gutenberg,work,3,original English prose,,"English novelist, journalist, and pamphleteer; Robinson Crusoe, Moll Flanders; formative architect of documentary realism","documentary, industrious, ledger-like, survivalist"
Ralph Waldo Emerson,literary,en,19c,expand_literary_2026_07b,Project Gutenberg,work,3,original English essays,,"American essayist, lecturer, and philosopher; Nature, Self-Reliance; central voice of Transcendentalism","oracular, aphoristic, self-reliant, transcendental"
Henry David Thoreau,literary,en,19c,expand_literary_2026_07b,Project Gutenberg,work,3,original English essays and prose,,"American naturalist, essayist, and dissident; Walden, Civil Disobedience; foundational ecological and civic thinker","clear-eyed, woodland-austere, civilly disobedient, patiently empirical"
Walt Whitman,literary,en,19c,expand_literary_2026_07b,Project Gutenberg,work,3,original English prose and verse,,"American poet, essayist, and journalist; Leaves of Grass; transformed free verse and the democratic lyric","catalogic, democratic, body-electric, ocean-breathed"
Romain Rolland,literary,fr,20c,expand_literary_2026_07b,Project Gutenberg,work,3,Nobel 1915; French originals only,,"French novelist, dramatist, and pacifist; Jean-Christophe; Nobel Prize in Literature 1915","humanist, symphonic, conscience-led, continent-spanning"
Andre Gide,literary,fr,20c,expand_literary_2026_07b,Project Gutenberg,work,3,Nobel 1947; French originals; US-PD early works only,,"French novelist, diarist, and critic; The Immoralist, The Counterfeiters; Nobel Prize in Literature 1947","confessional, morally prismatic, austere-sensual, self-questioning"
Charles Baudelaire,literary,fr,19c,expand_literary_2026_07b,Project Gutenberg,work,3,French originals only,,"French poet, critic, and translator; Les Fleurs du mal; theorist of modern urban beauty and the flâneur","spleen-soaked, perfumed, metropolitan, abyss-gazing"
Prosper Merimee,literary,fr,19c,expand_literary_2026_07b,Project Gutenberg,work,3,French originals only,,"French novelist, archaeologist, and preservationist; Carmen, Colomba; early inspector of historic monuments","laconic, exotic, cool-blooded, fate-tight"
Annie Ernaux,literary,fr,20c_21c,expand_literary_2026_07b,rights-cleared private texts,work,3,Nobel 2022; in-copyright French originals supplied locally; passages not displayed,,"French memoirist and social chronicler; The Years, Happening; Nobel Prize in Literature 2022","clinical, class-conscious, self-excavating, photographically spare"
Gerhart Hauptmann,literary,de,19c_20c,expand_literary_2026_07b,Project Gutenberg,work,3,Nobel 1912; German originals only,,"German dramatist and novelist; The Weavers, Before Sunrise; Nobel Prize in Literature 1912","naturalistic, proletarian, storm-laden, socially searing"
Gottfried Keller,literary,de,19c,expand_literary_2026_07b,Project Gutenberg,work,3,German originals only; two independent PG volumes so exploratory,,"Swiss poet and novelist; Green Henry, The People of Seldwyla; major voice of German-language poetic realism","civic-minded, pictorial, wryly humane, quietly fantastical"
Adalbert Stifter,literary,de,19c,expand_literary_2026_07b,Project Gutenberg,work,3,German originals only,,"Austrian writer, painter, and educator; Indian Summer, Rock Crystal; master of landscape ethics and attentive realism","mineral-calm, landscape-devout, microscopically patient, ethically ordered"
Ivan Bunin,literary,ru,19c_20c,expand_literary_2026_07b,Russian Wikisource,work,3,Nobel 1933; Russian originals only,,"Russian poet and novelist; The Village, Dark Avenues; first Russian laureate of the Nobel Prize in Literature, 1933","crystalline, elegiac, sensuous, exile-shadowed"
Leonid Andreyev,literary,ru,20c,expand_literary_2026_07b,Russian Wikisource,work,3,Russian originals only,,"Russian playwright and short-story writer; The Seven Who Were Hanged, He Who Gets Slapped; pioneer of Russian expressionism","expressionist, fevered, existential, nightmarishly theatrical"
Mikhail Saltykov-Shchedrin,literary,ru,19c,expand_literary_2026_07b,Russian Wikisource,work,3,Russian originals only; two verified sources so exploratory,,"Russian satirist, novelist, and civil servant; The Golovlyov Family, The History of a Town; scourge of imperial bureaucracy","grotesque, bureaucratic, venomous, absurdly prophetic"
Jacinto Benavente,literary,es,20c,expand_literary_2026_07b,Project Gutenberg,work,3,Nobel 1922; Spanish originals only,,"Spanish dramatist; The Bonds of Interest, Saturday Night; Nobel Prize in Literature 1922","urbane, conversational, socially observant, stage-supple"
Ruben Dario,literary,es,19c_20c,expand_literary_2026_07b,Project Gutenberg,work,3,Spanish originals only; modernist prose and verse,,"Nicaraguan poet, journalist, and diplomat; Azul…, Songs of Life and Hope; leading architect of Spanish-language Modernismo","opulent, musical, cosmopolitan, swan-white"
Grazia Deledda,literary,it,20c,expand_literary_2026_07b,Project Gutenberg,work,3,Nobel 1926; Italian originals only; single PG source so exploratory,,"Italian novelist from Sardinia; Reeds in the Wind, After the Divorce; Nobel Prize in Literature 1926","earthbound, fatalistic, island-rooted, spiritually severe"
Gabriele D'Annunzio,literary,it,19c_20c,expand_literary_2026_07b,Project Gutenberg,work,3,Italian originals only,,"Italian poet, novelist, soldier, and nationalist politician; The Pleasure, The Triumph of Death; leading Decadent stylist","sumptuous, sensorial, aristocratic, danger-drunk"
Maria Konopnicka,literary,pl,19c,expand_literary_2026_07b,Polish Wikisource,work,3,Polish originals only,,"Polish poet, novelist, translator, and women's-rights advocate; Rota, Our Old Mare; major voice of social and patriotic verse","lyrical, insurgent, folk-rooted, compassion-fired"
Xiao Hong,literary,zh,20c,expand_literary_2026_07b,Chinese Wikisource,work,3,Chinese originals only; two verified sources so exploratory,,"Chinese novelist and essayist; The Field of Life and Death, Tales of Hulan River; modernist chronicler of rural Manchuria","wintry, child-eyed, elliptical, famine-scarred"
Xu Zhimo,literary,zh,20c,expand_literary_2026_07b,Chinese Wikisource,work,3,Chinese originals only; essays and verse,,"Chinese poet and essayist; Saying Goodbye to Cambridge Again; defining lyrical voice of the Crescent Moon School","airborne, romantic, crystalline, Cambridge-lit"
Jian Zhen,literary,zh,20c_21c,expand_literary_2026_07b,rights-cleared private texts,work,3,in-copyright Chinese originals supplied locally; passages not displayed,,"Taiwanese essayist; Water Questions, A Woman's Study; known for contemplative lyric essays on ordinary life","meditative, tactile, quietly luminous, everyday-sacred"
Qiu Miaojin,literary,zh,20c,expand_literary_2026_07b,rights-cleared private texts,work,3,in-copyright Chinese originals supplied locally; passages not displayed,,"Taiwanese novelist and diarist; Notes of a Crocodile, Last Words from Montmartre; landmark voice of queer Sinophone literature","fragmented, confessional, queerly defiant, nocturnal"
J. K. Rowling,literary,en,20c_21c,expand_literary_2026_07b,rights-cleared private texts,work,3,in-copyright English originals supplied locally; passages not displayed,,"British novelist and screenwriter; Harry Potter series, The Casual Vacancy; creator of a globally influential fantasy world","myth-making, plot-propulsive, school-gothic, morally legible"
George Washington,rhetorical,en,18c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,First U.S. president and Revolutionary War commander; established key precedents for the presidency,"grave, republican, restrained, duty-bound"
John Adams,rhetorical,en,18c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,"Second U.S. president, diplomat, and political theorist; advocate of independence and constitutional government","learned, combative, candid, republican-austere"
Thomas Jefferson,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Third U.S. president and principal author of the Declaration of Independence; founder of the University of Virginia,"Enlightenment-inflected, elegant, agrarian, paradoxical"
James Madison,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Fourth U.S. president; principal architect of the Constitution and Bill of Rights,"constitutional, compressed, analytical, faction-aware"
James Monroe,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Fifth U.S. president and diplomat; associated with the Monroe Doctrine and Era of Good Feelings,"formal, steady, nationalizing, diplomatically guarded"
John Quincy Adams,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,"Sixth U.S. president, diplomat, and antislavery congressman; major early American foreign-policy strategist","erudite, austere, principled, densely reasoned"
Andrew Jackson,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Seventh U.S. president and military commander; transformed mass-party politics amid coercive Indigenous removal,"pugnacious, populist, personal, command-heavy"
Martin Van Buren,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Eighth U.S. president and party organizer; key architect of the modern Democratic Party,"tactical, lawyerly, partisan, smoothly evasive"
John Tyler,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Tenth U.S. president; established presidential succession practice and supported Texas annexation,"states-rights minded, formal, defensive, constitutionalist"
James K. Polk,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Eleventh U.S. president; oversaw major territorial expansion and the Mexican-American War,"goal-driven, meticulous, expansionist, administratively spare"
Zachary Taylor,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Twelfth U.S. president and Mexican-American War general; brief presidency amid sectional crisis,"soldierly, terse, plain, unvarnished"
Millard Fillmore,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,"Thirteenth U.S. president; signed the Compromise of 1850, including the Fugitive Slave Act","cautious, conciliatory, legalistic, order-seeking"
Franklin Pierce,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Fourteenth U.S. president; administration deepened sectional conflict through the Kansas-Nebraska era,"ornamental, conciliatory, party-loyal, evasive"
James Buchanan,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Fifteenth U.S. president and diplomat; presided over the accelerating secession crisis,"legalistic, temporizing, formal, status-quo bound"
Abraham Lincoln,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,16th U.S. president; led the Union through the Civil War and issued the Emancipation Proclamation,"plainspoken, solemn, aphoristic, moral"
Andrew Johnson,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Seventeenth U.S. president; led early Reconstruction and became the first president impeached,"defiant, extemporaneous, personalistic, confrontational"
Ulysses S. Grant,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Eighteenth U.S. president and Union general; defended Reconstruction and federal civil-rights enforcement,"direct, laconic, soldierly, unembellished"
Rutherford B. Hayes,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Nineteenth U.S. president; civil-service reformer whose accession marked the end of Reconstruction,"moderate, procedural, reformist, sober"
James A. Garfield,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,"Twentieth U.S. president, congressman, and scholar; assassinated early in office","learned, self-made, reform-minded, oratorically balanced"
Chester A. Arthur,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Twenty-first U.S. president; surprised allies by advancing federal civil-service reform,"polished, reserved, administrative, quietly reformist"
Grover Cleveland,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Twenty-second and twenty-fourth U.S. president; advocate of limited government and executive independence,"blunt, fiscally austere, veto-minded, moralizing"
Benjamin Harrison,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Twenty-third U.S. president; oversaw antitrust legislation and expansion of federal activity,"precise, lawyerly, chilly, policy-dense"
William McKinley,rhetorical,en,19c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Twenty-fifth U.S. president; led the nation through the Spanish-American War and industrial expansion,"calm, protective, prosperity-minded, carefully managed"
Theodore Roosevelt,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,"26th U.S. president, reformer, and conservationist; Nobel Peace Prize","vigorous, martial, expansive, reformist"
William Howard Taft,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Twenty-seventh U.S. president and later chief justice; trust-buster and constitutional jurist,"judicial, genial, meticulous, institution-first"
Woodrow Wilson,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Twenty-eighth U.S. president and political scientist; wartime leader and advocate of the League of Nations,"professorial, moralizing, elevated, covenant-driven"
Warren G. Harding,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Twenty-ninth U.S. president and newspaper publisher; promoted a postwar return to normalcy,"soothing, alliterative, vague, boosterish"
Calvin Coolidge,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,Thirtieth U.S. president; symbol of small-government conservatism during the 1920s,"laconic, dry, restrained, civic-moral"
Herbert Hoover,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,"Thirty-first U.S. president, engineer, and humanitarian; led during the onset of the Great Depression","technical, voluntarist, managerial, emotionally distant"
Franklin D. Roosevelt,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / Project Gutenberg,speech_or_document,3,original English public rhetoric; no campaign material,,32nd U.S. president; New Deal architect and wartime leader,"reassuring, pragmatic, intimate, commanding"
Harry S. Truman,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Thirty-third U.S. president; ended World War II and shaped the early Cold War order,"plainspoken, decisive, homespun, combative"
Dwight D. Eisenhower,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Thirty-fourth U.S. president and Allied commander; managed Cold War containment and interstate-highway expansion,"measured, military-calm, consensus-minded, cautionary"
John F. Kennedy,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP / JFK Library,speech_or_document,3,original English public rhetoric; no campaign material,,35th U.S. president; Cold War leader and advocate of public service,"crisp, aspirational, polished, rhythmic"
Lyndon B. Johnson,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Thirty-sixth U.S. president; enacted Great Society and landmark civil-rights legislation amid the Vietnam War,"forceful, legislative, moral-urgent, arm-twisting"
Richard Nixon,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Thirty-seventh U.S. president; opened relations with China and resigned over Watergate,"strategic, defensive, geopolitical, resentfully intimate"
Gerald Ford,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Thirty-eighth U.S. president; restored procedural stability after Watergate and pardoned Richard Nixon,"plain, healing, unpretentious, institution-steadying"
Jimmy Carter,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Thirty-ninth U.S. president and humanitarian; brokered the Camp David Accords and later won the Nobel Peace Prize,"earnest, moral, technocratic, confessional"
Ronald Reagan,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Fortieth U.S. president and former actor; conservative movement leader and late-Cold War communicator,"optimistic, anecdotal, cinematic, ideologically clear"
George H. W. Bush,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Forty-first U.S. president and diplomat; managed the Cold War's end and Gulf War coalition,"prudent, diplomatic, patrician, self-effacing"
Bill Clinton,rhetorical,en,20c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Forty-second U.S. president; New Democrat associated with economic expansion and welfare reform,"empathetic, policy-fluent, improvisational, triangulating"
George W. Bush,rhetorical,en,21c,seed_rhetorical_us_presidents,official presidential public documents / APP,speech_or_document,3,original English public rhetoric; no campaign material,,Forty-third U.S. president; led after the September 11 attacks and launched wars in Afghanistan and Iraq,"plainspoken, moral-binary, folksy, faith-inflected"
Barack Obama,rhetorical,en,21c,seed_rhetorical_us_presidents,official presidential public documents / APP / White House archives,speech_or_document,3,original English public rhetoric; no campaign material,,"44th U.S. president, constitutional lawyer, and author; Nobel Peace Prize","measured, reflective, inclusive, soaring"
Donald Trump,rhetorical,en,21c,seed_rhetorical_us_presidents,official presidential public documents / APP / White House archives,speech_or_document,3,original English public rhetoric; no campaign material,,American businessman and political figure; 45th and 47th U.S. president,"blunt, repetitive, combative, performative"
Joe Biden,rhetorical,en,21c,seed_rhetorical_us_presidents,official presidential public documents / APP / White House archives,speech_or_document,3,original English public rhetoric; no campaign material,,46th U.S. president and longtime senator; infrastructure and industrial-policy agenda,"empathetic, colloquial, resolute, reassuring"
Winston Churchill,rhetorical,en,20c,expand_rhetorical_public_figures,Churchill archive / official speeches,speech_or_document,3,original English public rhetoric only,,British statesman and wartime prime minister; Nobel Prize in Literature,"oratorical, defiant, grand, indomitable"
Martin Luther King Jr.,rhetorical,en,20c,expand_rhetorical_public_figures,speech archive,speech_or_document,3,original English public rhetoric only,,American minister and civil-rights leader; Nobel Peace Prize,"prophetic, cadenced, compassionate, galvanizing"
Bill Gates,rhetorical,en,20c_21c,expand_rhetorical_public_figures,official essays / speeches / transcripts,speech_or_document,3,original English texts only,,American software entrepreneur and philanthropist; Microsoft co-founder and global-health funder,"systems-minded, explanatory, data-forward, solutionist"
Elon Musk,rhetorical,en,21c,expand_rhetorical_public_figures,official speeches / interviews / posts,speech_or_document,3,original English texts only,,"Technology entrepreneur associated with electric vehicles, commercial spaceflight, and social media","provocative, compressed, techno-futurist, meme-literate"
Steve Jobs,rhetorical,en,20c_21c,expand_rhetorical_public_figures,official speeches / keynotes,speech_or_document,3,original English texts only,,"American technology executive; Apple co-founder who reshaped personal computing, music, and mobile design","minimalist, visionary, product-theatrical, intuitive"
Nelson Mandela,rhetorical,en,20c_21c,expand_rhetorical_public_figures,foundation/archive speeches,speech_or_document,3,collect English originals only in the English pass,,South African anti-apartheid leader and president; Nobel Peace Prize,"measured, conciliatory, dignified, resolute"
Margaret Thatcher,rhetorical,en,20c,expand_rhetorical_uk,foundation/archive speeches,speech_or_document,3,original English public rhetoric only,,British prime minister and Conservative reformer; first woman to hold the office,"assertive, doctrinal, disciplined, combative"
Tony Blair,rhetorical,en,20c_21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only,,British prime minister and Labour modernizer; led New Labour and supported intervention in Iraq,"modernizing, fluent, centrist, morally assertive"
Boris Johnson,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only,,"British politician, writer, and former prime minister; led Brexit implementation and the early pandemic response","bumptious, allusive, comic, improvisational"
Keir Starmer,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only; no campaign material,,British Labour politician and former director of public prosecutions; prime minister after the 2024 election,"prosecutorial, disciplined, managerial, change-with-caution"
Theresa May,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only,,British former prime minister and home secretary; led early Brexit negotiations,"dutiful, controlled, security-minded, stiffly earnest"
David Cameron,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only,,British former prime minister; led coalition austerity government and called the Brexit referendum,"smooth, pragmatic, clubbable, modernization-minded"
Gordon Brown,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only,,British former prime minister and chancellor; central figure in the response to the global financial crisis,"weighty, moral-serious, statistics-rich, Presbyterian"
John Major,rhetorical,en,20c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only,,British former prime minister; negotiated the Maastricht era and advanced the Northern Ireland peace process,"understated, decent, pragmatic, cricket-field plain"
Rishi Sunak,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only,,British former prime minister and chancellor; led during inflation and post-pandemic fiscal strain,"technocratic, brisk, metrics-led, managerial"
Liz Truss,rhetorical,en,21c,expand_rhetorical_uk,official speeches/archive,speech_or_document,3,original English public rhetoric only,,British former prime minister and foreign secretary; advocate of low-tax market liberalism,"ideological, emphatic, liberty-branded, brittle"
Kamala Harris,rhetorical,en,21c,expand_rhetorical_us_modern,official speeches / White House / Senate archive,speech_or_document,3,original English public rhetoric; no campaign material,,"American lawyer and politician; former vice president, senator, and California attorney general","prosecutorial, upbeat, coalition-minded, rhythmic"
Hillary Clinton,rhetorical,en,20c_21c,expand_rhetorical_us_modern,official speeches / State Department / Senate archive,speech_or_document,3,original English public rhetoric; no campaign material,,"American diplomat and politician; former secretary of state, senator, and presidential nominee","policy-dense, resilient, disciplined, incrementalist"
Bernie Sanders,rhetorical,en,20c_21c,expand_rhetorical_us_modern,official congressional/senate speeches,speech_or_document,3,original English public rhetoric; no campaign material,,American senator and democratic socialist; national advocate for universal healthcare and economic redistribution,"repetitive, class-focused, indignant, movement-driven"
Elizabeth Warren,rhetorical,en,21c,expand_rhetorical_us_modern,official senate speeches,speech_or_document,3,original English public rhetoric; no campaign material,,American senator and legal scholar; consumer-protection architect and critic of concentrated finance,"plan-heavy, pedagogical, prosecutorial, populist-progressive"
Alexandria Ocasio-Cortez,rhetorical,en,21c,expand_rhetorical_us_modern,official congressional speeches,speech_or_document,3,original English public rhetoric; no campaign material,,American congresswoman and democratic socialist; prominent advocate of the Green New Deal,"digital-native, insurgent, vivid, movement-savvy"
Ron DeSantis,rhetorical,en,21c,expand_rhetorical_us_modern,official governor speeches,speech_or_document,3,original English public rhetoric; no campaign material,,American politician and Florida governor; conservative culture-war and executive-power advocate,"combative, disciplined, grievance-coded, prosecutorial"
Justin Trudeau,rhetorical,en,21c,expand_rhetorical_commonwealth,official English speeches,speech_or_document,3,English originals only,,Canadian politician and former prime minister; advanced progressive social policy and climate pricing,"inclusive, polished, bilingual, values-forward"
Justin Trudeau,rhetorical,fr,21c,expand_rhetorical_commonwealth,official French speeches,speech_or_document,3,French originals only,,Canadian politician and former prime minister; advanced progressive social policy and climate pricing,"inclusive, polished, bilingual, values-forward"
